NumberCode,LongTitle,StatusName,LatestCompletedMajorStageNameWithChamberSuffix,SessionNumber,BillDocumentTypeName,IsGovernmentBill,IsHouseBill,IsSenateBill,SponsorPersonName,LatestBillEventNumberOfAmendments,PassedFirstChamberFirstReading,PassedFirstChamberSecondReading,PassedFirstChamberThirdReading,PassedSecondChamberFirstReading,PassedSecondChamberSecondReading,PassedSecondChamberThirdReading,ReceivedRoyalAssent,IsSessionOngoing
S-219,An Act respecting a National Ribbon Skirt Day,Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-220,An Act to amend the Languages Skills Act (Governor General),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-221,An Act to amend the Governor General’s Act (retiring annuity and other benefits),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-222,An Act to amend the Department of Public Works and Government Services Act (use of wood),At third reading in the House of Commons,Second reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,False,False,True
S-223,An Act to amend the Criminal Code and the Immigration and Refugee Protection Act (trafficking in human organs),Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-224,An Act to amend the Criminal Code (trafficking in persons),At consideration in committee in the House of Commons,Second reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,False,False,True
S-225,An Act to amend the Prohibiting Cluster Munitions Act (investments),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-226,"An Act to amend the Constitution Act, 1867 and the Parliament of Canada Act (Speaker of the Senate)",At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-227,An Act to establish Food Day in Canada,Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-228,"An Act to amend the Constitution Act, 1867 (property qualifications of Senators)",At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-229,An Act to amend the Language Skills Act (Lieutenant Governor of New Brunswick),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-230,An Act to amend the Corrections and Conditional Release Act,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-231,"An Act to amend the Criminal Code, the Criminal Records Act, the National Defence Act and the DNA Identification Act",At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-232,"An Act respecting the development of a national strategy for the decriminalization of illegal substances, to amend the Controlled Drugs and Substances Act and to make consequential amendments to other Acts",At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-233,An Act to develop a national framework for a guaranteed livable basic income,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-234,"An Act to amend the Canadian Environmental Protection Act, 1999 (final disposal of plastic waste)",At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-235,An Act to amend the Citizenship Act and the Immigration and Refugee Protection Act,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-236,An Act to amend the Employment Insurance Act and the Employment Insurance Regulations (Prince Edward Island),Bill defeated,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-237,An Act to establish the Foreign Influence Registry and to amend the Criminal Code,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
